Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2018-11-10,Girls Like You,Maroon 5 Featuring Cardi B,23,
2018-11-03,Girls Like You,Maroon 5 Featuring Cardi B,22,
2018-10-27,Girls Like You,Maroon 5 Featuring Cardi B,21,
2018-10-20,Girls Like You,Maroon 5 Featuring Cardi B,20,
2018-10-13,Girls Like You,Maroon 5 Featuring Cardi B,19,
2018-10-06,Girls Like You,Maroon 5 Featuring Cardi B,18,
2018-09-29,Girls Like You,Maroon 5 Featuring Cardi B,17,2
2018-09-22,In My Feelings,Drake,11,
2018-09-15,In My Feelings,Drake,10,
2018-09-08,In My Feelings,Drake,9,
2018-09-01,In My Feelings,Drake,8,
2018-08-25,In My Feelings,Drake,7,
2018-08-18,In My Feelings,Drake,6,
2018-08-11,In My Feelings,Drake,5,
2018-08-04,In My Feelings,Drake,4,
2018-07-28,In My Feelings,Drake,3,
2018-07-21,In My Feelings,Drake,2,6
2018-07-14,Nice For What,Drake,13,6
2018-07-07,I Like It,"Cardi B, Bad Bunny & J Balvin",12,2
2018-06-30,Sad!,XXXTENTACION,16,52
2018-06-23,Nice For What,Drake,10,2
2018-06-16,Psycho,Post Malone Featuring Ty Dolla $ign,15,2
2018-06-09,Nice For What,Drake,8,
2018-06-02,Nice For What,Drake,7,2
2018-05-26,This Is America,Childish Gambino,2,
2018-05-19,This Is America,Childish Gambino,1,
2018-05-12,Nice For What,Drake,4,
2018-05-05,Nice For What,Drake,3,
2018-04-28,Nice For What,Drake,2,
2018-04-21,Nice For What,Drake,1,
2018-04-14,God's Plan,Drake,11,
2018-04-07,God's Plan,Drake,10,
2018-03-31,God's Plan,Drake,9,
2018-03-24,God's Plan,Drake,8,
2018-03-17,God's Plan,Drake,7,
2018-03-10,God's Plan,Drake,6,
2018-03-03,God's Plan,Drake,5,
2018-02-24,God's Plan,Drake,4,
2018-02-17,God's Plan,Drake,3,
2018-02-10,God's Plan,Drake,2,
2018-02-03,God's Plan,Drake,1,
2018-01-27,Havana,Camila Cabello Featuring Young Thug,23,2
2018-01-20,Perfect,Ed Sheeran,20,
2018-01-13,Perfect,Ed Sheeran,19,
2018-01-06,Perfect,Ed Sheeran,18,
2017-12-30,Perfect,Ed Sheeran,16,
2017-12-23,Perfect,Ed Sheeran,15,3
2017-12-16,Rockstar,Post Malone Featuring 21 Savage,11,
2017-12-09,Rockstar,Post Malone Featuring 21 Savage,10,
2017-12-02,Rockstar,Post Malone Featuring 21 Savage,9,
2017-11-25,Rockstar,Post Malone Featuring 21 Savage,8,
2017-11-18,Rockstar,Post Malone Featuring 21 Savage,7,
2017-11-11,Rockstar,Post Malone Featuring 21 Savage,6,
2017-11-04,Rockstar,Post Malone Featuring 21 Savage,5,
2017-10-28,Rockstar,Post Malone Featuring 21 Savage,4,2
2017-10-21,Bodak Yellow (Money Moves),Cardi B,14,
2017-10-14,Bodak Yellow (Money Moves),Cardi B,13,
2017-10-07,Bodak Yellow (Money Moves),Cardi B,12,2
2017-09-30,Look What You Made Me Do,Taylor Swift,4,
2017-09-23,Look What You Made Me Do,Taylor Swift,3,
2017-09-16,Look What You Made Me Do,Taylor Swift,2,77
2017-09-09,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,32,
2017-09-02,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,31,
2017-08-26,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,30,
2017-08-19,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,29,
2017-08-12,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,28,
2017-08-05,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,27,
2017-07-29,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,26,
2017-07-22,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,25,
2017-07-15,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,24,
2017-07-08,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,23,
2017-07-01,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,22,
2017-06-24,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,21,
2017-06-17,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,20,
2017-06-10,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,19,
2017-06-03,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,18,
2017-05-27,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,17,3
2017-05-20,I'm The One,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,
2017-05-13,That's What I Like,Bruno Mars,15,3
2017-05-06,Humble.,Kendrick Lamar,3,3
2017-04-29,Shape Of You,Ed Sheeran,14,
2017-04-22,Shape Of You,Ed Sheeran,13,
2017-04-15,Shape Of You,Ed Sheeran,12,
2017-04-08,Shape Of You,Ed Sheeran,11,
2017-04-01,Shape Of You,Ed Sheeran,10,
2017-03-25,Shape Of You,Ed Sheeran,9,
2017-03-18,Shape Of You,Ed Sheeran,8,
2017-03-11,Shape Of You,Ed Sheeran,7,
2017-03-04,Shape Of You,Ed Sheeran,6,
2017-02-25,Shape Of You,Ed Sheeran,5,
2017-02-18,Shape Of You,Ed Sheeran,4,2
2017-02-11,Bad And Boujee,Migos Featuring Lil Uzi Vert,11,
